enderecos,lon,lat,endereco_completo
"AVENIDA OTACILIO FERNANDES DE LIMA - CENTRO, Abadiânia - GO, 72940-000",-48.7129222,-16.1904962,"AVENIDA OTACILIO FERNANDES DE LIMA - CENTRO, Abadiânia - GO, 72940-000"
"AV. GERALDO RODRIGUES DOS SANTOS, 1001 - CENTRO, Abadiânia - GO, 72940-000",-48.7061322,-16.1963414,"AV. GERALDO RODRIGUES DOS SANTOS, 1001 - CENTRO, Abadiânia - GO, 72940-000"
"AV.DOM PEDRO SEGUNDO,410 - CENTRO, Abaetetuba - PA, 68440-000",-48.8877452,-1.7238875,"AV.DOM PEDRO SEGUNDO,410 - CENTRO, Abaetetuba - PA, 68440-000"
"RUA SIQUEIRA MENDES, NUM 1375 - CENTRO, Abaetetuba - PA, 68440-000",-48.890163,-1.7249147,"RUA SIQUEIRA MENDES, NUM 1375 - CENTRO, Abaetetuba - PA, 68440-000"
"AV. DOM PEDRO II, 270 - CENTRO, Abaetetuba - PA, 68440-000",-48.8888688,-1.7234576,"AV. DOM PEDRO II, 270 - CENTRO, Abaetetuba - PA, 68440-000"
"AV DOM PEDRO II, 1406 - SANTA ROSA, Abaetetuba - PA, 68440-000",-48.8886033,-1.7233627,"AV DOM PEDRO II, 1406 - SANTA ROSA, Abaetetuba - PA, 68440-000"
"RUA BARÃO DO RIO BRANCO, 1506 - CENTRO, Abaetetuba - PA, 68440-000",-48.8884729,-1.7240372,"RUA BARÃO DO RIO BRANCO, 1506 - CENTRO, Abaetetuba - PA, 68440-000"
"AV. DOM PEDRO II, 424 - CENTRO, Abaetetuba - PA, 68440-000",-48.8873054,-1.7237415,"AV. DOM PEDRO II, 424 - CENTRO, Abaetetuba - PA, 68440-000"
"R SIQUEIRA MENDES, 1208 - CENTRO, Abaetetuba - PA, 68440-000",-48.8901405,-1.7265816,"R SIQUEIRA MENDES, 1208 - CENTRO, Abaetetuba - PA, 68440-000"
"R.JADER MOURA,258 - CENTRO, Abaeté - MG, 35620-000",-45.4466228,-19.1570701,"R.JADER MOURA,258 - CENTRO, Abaeté - MG, 35620-000"
